id,claim,rating,image_url,permalink,publish_date
893,A photograph shows a 41-lb caught in New York City.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/FB_IMG_1448335855481.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/3-foot-rat.jpg?w=468 468w']",https://www.snopes.com/fact-check/41-lb-rat-photo/,2015-11-24T15:43:17+00:00
895,A photograph shows three buildings in New York decorated with window crosses for Easter in 1956.,true,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/crosses-on-skyline.jpg?w=729 729w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/crosses-newspaper.png?w=922 922w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/okc-light-display.jpg?w=650 650w']",https://www.snopes.com/fact-check/new-york-easter-cross-light-display/,2015-11-24T10:40:22+00:00
910,A photograph shows two extremely muscular female bodybuilders.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/FB_IMG_1446908214073.jpg?w=552 552w'],https://www.snopes.com/fact-check/female-bodybuilders/,2015-11-10T09:09:43+00:00
917,A series of photographs show a UFO photographed over Memphis by several different people.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/12141758_436176369920217_9160529946257013832_n.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/ufos.jpg?w=410 410w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/11/v-ufo.jpg?resize=1024']",https://www.snopes.com/fact-check/ufo-photo-memphis-angola/,2015-11-04T11:43:04+00:00
920,"A photograph shows the phrase ""Hail Satan"" printed on the bottom of a cup from the In-N-Out Burger chain.",false,['https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/hail-satan.jpg?w=480 480w'],https://www.snopes.com/fact-check/hail-satan-in-n-out-cup/,2015-10-29T11:38:50+00:00
923,Two photographs of the earth taken by NASA in 1978 and 2012 document the dramatic effects of deforestation in North America.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/earth-west.jpg?w=540 540w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/earth-nasa.png?w=660 660w']",https://www.snopes.com/fact-check/nasa-deforestation-images/,2015-10-26T10:54:01+00:00
926,"An official movie poster shows Dwayne ""The Rock"" Johnson as the cartoon character Johnny Bravo.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/the-rock-johnny-bravo.jpg?w=745 745w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/the-rock.jpg?w=1920 1920w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/10/powerpuff-girls-facebook.png?w=376 376w']",https://www.snopes.com/fact-check/johny-bravo-the-rock-powerpuff-girls/,2015-10-23T10:34:25+00:00
947,A photograph documents Planned Parenthood founder Margaret Sanger speaking to women of the Ku Klux Klan (KKK).,mixture,['https://us-east-1.tchyn.io/snopes-production/uploads/2015/09/margaret-sanger-KKK.png?w=600 600w'],https://www.snopes.com/fact-check/margaret-sanger-kkk/,2015-09-30T12:10:41+00:00
956,"Photographs show a cache of weapons uncovered by the Coast Guard in Greece, disguised as furniture and headed for European refugee camps.",false,['https://us-east-1.tchyn.io/snopes-production/uploads/2015/09/yavex-usa.jpg?w=475 475w'],https://www.snopes.com/fact-check/greek-customs-weapons-refugees-furniture/,2015-09-15T11:09:16+00:00
958,A photograph shows President Obama posing next to a 69 or 420 mile marker.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2015/09/the-leader-of-our-country-fake.jpg?w=459 459w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/09/obama-1961.png?w=591 591w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2015/09/obama-420.jpg?w=640 640w']",https://www.snopes.com/fact-check/president-obama-69-alaska/,2015-09-04T08:58:58+00:00
